Member,First Name,Last Name,Chamber,Party,State / District,Link,URL,Deadline,Comment,Submitted,Past Caucus Signatory,Caucus,Appropriator,Authorizer,NASA Center,Priority Ranking
Daniel Webster,Daniel,Webster,House,Republican,FL-11,https://forms.office.com/Pages/ResponsePage.aspx?id=mYITktAiSU2NMHFw1YltmEd0554kf0REpIW4D6brgbRUMjNWWEQzVVRLN0tYN0xXUjhSMTBSQzFMRC4u,https://forms.office.com/Pages/ResponsePage.aspx?id=mYITktAiSU2NMHFw1YltmEd0554kf0REpIW4D6brgbRUMjNWWEQzVVRLN0tYN0xXUjhSMTBSQzFMRC4u,3/6/2026,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2
Rich McCormick,Rich,McCormick,House,Republican,GA-07,,,TBD,email max.berry@mail.house.gov,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2
Mike Collins,Mike,Collins,House,Republican,GA-10,https://collins.house.gov/services/appropriations,https://collins.house.gov/services/appropriations,3/6/2026,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2
Tammy Duckworth,Tammy,Duckworth,Senate,Democrat,IL,https://www.duckworth.senate.gov/appropriations-request,https://www.duckworth.senate.gov/appropriations-request,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2
Todd Young,Todd,Young,Senate,Republican,IN,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2
James Baird,James,Baird,House,Republican,IN-04,https://forms.office.com/pages/responsepage.aspx?id=mYITktAiSU2NMHFw1YltmDZy1aEr0PpJsBgRfKDupGVURTZVWEVZSTAyT0s5WVRHVjc3REZEU0dLMC4u&origin=lprLink&route=shorturl,https://forms.office.com/pages/responsepage.aspx?id=mYITktAiSU2NMHFw1YltmDZy1aEr0PpJsBgRfKDupGVURTZVWEVZSTAyT0s5WVRHVjc3REZEU0dLMC4u&origin=lprLink&route=shorturl,3/27/2026,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2
Edward Markey,Edward,Markey,Senate,Democrat,MA,,,3/16/2026,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2
Haley Stevens,Haley,Stevens,House,Democrat,MI-11,https://stevens.house.gov/get-help/appropriations-request,https://docs.google.com/forms/d/e/1FAIpQLSdhfnCagDuZ7Q1-wSaFwT1uqKVIRlbqLcVfNUCiplzxKtex-Q/viewform,TBD,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2
Amy Klobuchar,Amy,Klobuchar,Senate,Democrat,MN,https://www.klobuchar.senate.gov/public/index.cfm/programmatic-appropriations-requests,https://www.klobuchar.senate.gov/public/index.cfm/programmatic-appropriations-requests,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2
Eric Schmitt,Eric,Schmitt,Senate,Republican,MO,https://oampluspublic.senate.gov/public/login/a052271f-aec9-4901-af19-0584ccddb32d,https://oampluspublic.senate.gov/public/login/a052271f-aec9-4901-af19-0584ccddb32d,3/31/2026,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2
Tim Sheehy,Tim,Sheehy,Senate,Republican,MT,https://www.sheehy.senate.gov/services/appropriations-and-cds-requests/,https://www.sheehy.senate.gov/services/appropriations-and-cds-requests/,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2
Ted Budd,Ted,Budd,Senate,Republican,NC,https://www.budd.senate.gov/constituent-services/ndaa-appropriations-requests/,https://outreach.senate.gov/iqextranet/EForm.aspx?__cid=quorum_budd-iq&__fid=100028,3/13/2026,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2
David Rouzer,David,Rouzer,House,Republican,NC-07,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2
Pat Harrigan,Pat,Harrigan,House,Republican,NC-10,https://docs.google.com/forms/d/e/1FAIpQLSfjBR4jGF3Wctw2sVYtEofX-f_CgivAML49mo-yLAuhMEGXtA/viewform,https://docs.google.com/forms/d/e/1FAIpQLSfjBR4jGF3Wctw2sVYtEofX-f_CgivAML49mo-yLAuhMEGXtA/viewform,TBD,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2
Andy Kim,Andy,Kim,Senate,Democrat,NJ,,,TBD,"No form, send a message using this link.",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2
Jacklyn Rosen,Jacklyn,Rosen,Senate,Democrat,NV,https://www.rosen.senate.gov/services/appropriations-requests/,https://oampluspublic.senate.gov/public/login/74cfb763-4f05-414b-8f4f-db859b550198,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2
Laura Gillen,Laura,Gillen,House,Democrat,NY-04,https://gillen.house.gov/services/appropriations,https://gillen.house.gov/services/appropriations,N/A,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2
Claudia Tenney,Claudia,Tenney,House,Republican,NY-24,https://drive.google.com/file/d/16la1uLKNDDDxmgjWAcrZJr3vTIN5egcK/view,https://drive.google.com/file/d/16la1uLKNDDDxmgjWAcrZJr3vTIN5egcK/view,TBD,Email completed form to zev.siegfeld@mail.house.gov,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2
Suzanne Bonamici,Suzanne,Bonamici,House,Democrat,OR-01,https://bonamici.house.gov/services/appropriations,https://docs.google.com/forms/d/e/1FAIpQLSevV6cJk1u3vly-TVrH6Veid9BBJIjVg47L46tVzm4CzTgtsA/viewform,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2
Andrea Salinas,Andrea,Salinas,House,Democrat,OR-06,https://docs.google.com/forms/d/e/1FAIpQLSdLtUsfN5ub5N-qWlfcQG-aeEWqCfjcqGS81ZNfvVMaWPT8Yg/viewform,https://docs.google.com/forms/d/e/1FAIpQLSdLtUsfN5ub5N-qWlfcQG-aeEWqCfjcqGS81ZNfvVMaWPT8Yg/viewform,3/11/2026,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2
John Fetterman,John,Fetterman,Senate,Democrat,PA,https://www.fetterman.senate.gov/appropriations/,https://docs.google.com/forms/d/e/1FAIpQLSes3TvQspGMAzP9tkqmryPBDgkiSbwwHQt7oeYOqNFAyDtwjw/viewform,TBD,sign up here for updates,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2
Gabe Amo,Gabe,Amo,House,Democrat,RI-01,https://docs.google.com/forms/d/e/1FAIpQLSe4juiAoa4yHpHXJ3V7ZhM_wbSTkGr_FNjdD4x0u9v8qnxP4w/viewform,https://docs.google.com/forms/d/e/1FAIpQLSe4juiAoa4yHpHXJ3V7ZhM_wbSTkGr_FNjdD4x0u9v8qnxP4w/viewform,3/6/2026,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2
Sheri Biggs,Sheri,Biggs,House,Republican,SC-03,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2
John Thune,John,Thune,Senate,Republican,SD,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2
Marsha Blackburn,Marsha,Blackburn,Senate,Republican,TN,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2
Keith Self,Keith,Self,House,Republican,TX-03,https://forms.office.com/Pages/ResponsePage.aspx?id=mYITktAiSU2NMHFw1YltmEiR7V8UdJtMla87gECts19UQ0g0VDdaSE9CNlY2OE1MMDNBSzAwTUVWVi4u,https://forms.office.com/Pages/ResponsePage.aspx?id=mYITktAiSU2NMHFw1YltmEiR7V8UdJtMla87gECts19UQ0g0VDdaSE9CNlY2OE1MMDNBSzAwTUVWVi4u,3/13/2026,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2
Randy Weber,Randy,Weber,House,Republican,TX-14,https://docs.google.com/document/d/1WaYLh5ur9YqGVh8hVA9aSZadq_JlYr-3/edit,https://docs.google.com/document/d/1WaYLh5ur9YqGVh8hVA9aSZadq_JlYr-3/edit,3/27/2026,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2
John Curtis,John,Curtis,Senate,Republican,UT,https://www.curtis.senate.gov/appropriation-requests/,https://www.curtis.senate.gov/appropriation-requests/,,(not yet updated for FY27),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2
Michael Kennedy,Michael,Kennedy,House,Republican,UT-03,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2
Maria Cantwell,Maria,Cantwell,Senate,Democrat,WA,https://www.cantwell.senate.gov/fy2027-appropriations,https://www.cantwell.senate.gov/fy2027-appropriations,TBD,Email appropriations@cantwell.senate.gov to be notified.,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2
Tammy Baldwin,Tammy,Baldwin,Senate,Democrat,WI,https://oampluspublic.senate.gov/public/login/5d214983-a76e-44c1-8656-dc8fd248bb2e,https://oampluspublic.senate.gov/public/login/5d214983-a76e-44c1-8656-dc8fd248bb2e,3/22/2026,Sign up here to be notified,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2
Cynthia Lummis,Cynthia,Lummis,Senate,Republican,WY,,,,not available yet (2/26),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2
Tommy Tuberville,Tommy,Tuberville,Senate,Republican,AL,https://www.tuberville.senate.gov/services/appropriations-request-form/,https://forms.office.com/Pages/ResponsePage.aspx?id=yQ08CVqFVEaBVDu8JMTbfrZHbdjUMQtOmXxpOY-8fSpUOVBCQjlEVDQ3MlQwQ0hLUkYwMjQ2R1FUSC4u,3/27/2026,Not updated for FY27,FALSE,FALSE,,FALSE,FALSE,TRUE,1
Ashley Moody,Ashley,Moody,Senate,Republican,FL,,,,,FALSE,FALSE,,FALSE,FALSE,TRUE,1
Rick Scott,Rick,Scott,Senate,Republican,FL,https://scottpeters.house.gov/appropriations-requests-for-fiscal-year-2027,https://docs.google.com/forms/d/e/1FAIpQLSf2a-4mmFiH2FAPC23EPAaSozXFWY1TVFXc0XlAB_ZNrNZ6ag/viewform,3/13/2026,,FALSE,FALSE,,FALSE,FALSE,TRUE,1
Bill Cassidy,Bill,Cassidy,Senate,Republican,LA,,,,,FALSE,FALSE,,FALSE,FALSE,TRUE,1
Angela Alsobrooks,Angela,Alsobrooks,Senate,Democrat,MD,https://www.alsobrooks.senate.gov/services/appropriations/,,3/15/2026,Sign up here to be notified.,FALSE,FALSE,,FALSE,FALSE,TRUE,1
Mike Ezell,Mike,Ezell,House,Republican,MS-04,https://ezell.house.gov/services/appropriations-request-information.htm,https://docs.google.com/forms/d/e/1FAIpQLSdn9TSjKlWCzFAm5Aa5xGyONGmOi0a37dG2wu1NYdUsukJxhA/viewform,TBD,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1
Jon Husted,Jon,Husted,Senate,Republican,OH,https://www.husted.senate.gov/legislation/congressionally-directed-spending-and-programmatic-appropriations/,https://oampluspublic.senate.gov/public/login/5d5815ec-017e-4629-b4d1-20154942668c,3/9/2026,,FALSE,FALSE,,FALSE,FALSE,TRUE,1
Bernie Moreno,Bernie,Moreno,Senate,Republican,OH,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1
Shontel Brown,Shontel,Brown,House,Democrat,OH-11,https://shontelbrown.house.gov/services/appropriations-requests,https://docs.google.com/forms/d/e/1FAIpQLSeObzXPHcWnIrWLqtxoNVsU0f1fsvOUBXx8oe6I-uX_vVR86w/viewform,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1
John Cornyn,John,Cornyn,Senate,Republican,TX,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1
Ted Cruz,Ted,Cruz,Senate,Republican,TX,,,,"do not participate in appropriations process, but feel free to call the office and share your concerns",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1
Barry Moore,Barry,Moore,House,Republican,AL-1,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
Shomari Figures,Shomari,Figures,House,Democrat,AL-2,link,https://docs.google.com/forms/d/e/1FAIpQLSexqBedI1PwB1asL7kv1Dd5vZDpySyNrC49WqBOMzxiMO1wYg/viewform,3/6/2026,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0
Mike Rogers,Mike,Rogers,House,Republican,AL-3,,,TBD,email nathan.markovitz@mail.house.gov,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
Gary Palmer,Gary,Palmer,House,Republican,AL-6,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
Terri Sewell,Terri,Sewell,House,Democrat,AL-7,link,https://docs.google.com/forms/d/e/1FAIpQLSfJ5cVar88Xo1oUs3bBTZeBntoDS0JUunKBQ6yx1rI-wNHphw/viewform,3/4/2026,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
John Boozman,John,Boozman,Senate,Republican,AR,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
Tom Cotton,Tom,Cotton,Senate,Republican,AR,,,,Email jessica_hart@cotton.senate.gov,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
Rick Crawford,Rick,Crawford,House,Republican,AR-1,link (bottom of page),https://crawford.house.gov/appropriations-request,3/6/2026,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0
French Hill,French,Hill,House,Republican,AR-2,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
Steve Womack,Steve,Womack,House,Republican,AR-3,link,https://forms.office.com/pages/responsepage.aspx?id=mYITktAiSU2NMHFw1YltmDi_JsLWMiVDgEGJERq0QepUMkxTWjUzQlZRUjFURFNYVjlPUDU5NUlWRS4u&route=shorturl,3/6/2026,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0
Bruce Westerman,Bruce,Westerman,House,Republican,AR-4,link,https://forms.office.com/Pages/ResponsePage.aspx?id=mYITktAiSU2NMHFw1YltmD9g6WmjEZ1BgjtuB3dF31FUODZBTUZOWTlFQlhBRVRKOVNRNUk2Tk9WRi4u&wdLOR=c343BD9D5-565E-4168-9789-BC85F4A8AA11,3/6/2026,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
Ruben Gallego,Ruben,Gallego,Senate,Democrat,AZ,link,https://forms.office.com/pages/responsepage.aspx?id=yQ08CVqFVEaBVDu8JMTbfrIRC7X83e1LkU061Qk1Xo9UNVpTUTM2MDBBVzJPV0ZUU0VIRkEzT1lHWi4u&route=shorturl,3/20/2026,joint form for Senators Kelly and Gallego,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
David Schweikert,David,Schweikert,House,Republican,AZ-1,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
Eli Crane,Eli,Crane,House,Republican,AZ-2,,mailto:Derrick.Miller@mail.house.gov,TBD,Email Derrick.Miller@mail.house.gov,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
Yassamin Ansari,Yassamin,Ansari,House,Democrat,AZ-3,link,https://docs.google.com/forms/d/e/1FAIpQLSdrON3kjaZVK7Z7LcbSSlgOXG-T1XmAKybc7lqXmvSVT3t_3A/viewform,TBD,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
Greg Stanton,Greg,Stanton,House,Democrat,AZ-4,link,https://docs.google.com/forms/d/e/1FAIpQLSfDHJ3vrg4mAbsVhOUWLsCTvYk_GXwfzDDhnfU1edfB5nQLDQ/viewform,3/6/2026,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
Andy Biggs,Andy,Biggs,House,Republican,AZ-5,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
Juan Ciscomani,Juan,Ciscomani,House,Republican,AZ-6,link,https://forms.office.com/Pages/ResponsePage.aspx?id=mYITktAiSU2NMHFw1YltmNbjbXAl0V1HuknDqrwMqC1UNFpXNDRINElSMlczSVQ2VUdDNUdDMVI2NC4u,3/13/2026,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
Adelita Grijalva,Adelita,Grijalva,House,Democrat,AZ-7,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
Abe Hamadeh,Abe,Hamadeh,House,Republican,AZ-8,link,https://forms.office.com/pages/responsepage.aspx?id=mYITktAiSU2NMHFw1YltmFqxRxLMgBlAkIim3yo7LxNURTZINlIyNjZKNUlCSjgxMFdTWDZIUlBTVS4u&web=1&wdLOR=c795BBD8C-7C06-41A2-B8A7-208BCC17EADA&route=shorturl,2/27/2026,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
Paul Gosar,Paul,Gosar,House,Republican,AZ-9,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
VACANT ,VACANT,,House,Republican,CA-1,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
Mark DeSaulnier,Mark,DeSaulnier,House,Democrat,CA-10,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
Nancy Pelosi,Nancy,Pelosi,House,Democrat,CA-11,https://docs.google.com/forms/d/e/1FAIpQLSc6sJb7cTcUqFBb-81TmlPfepjkugzYd-kPII5gKaE1oF1lXg/viewform,https://docs.google.com/forms/d/e/1FAIpQLSc6sJb7cTcUqFBb-81TmlPfepjkugzYd-kPII5gKaE1oF1lXg/viewform,3/6/2026,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
Lateefah Simon,Lateefah,Simon,House,Democrat,CA-12,https://airtable.com/app02Feq3oPt7vISQ/pag8SRJxV8llljYvz/form,https://airtable.com/app02Feq3oPt7vISQ/pag8SRJxV8llljYvz/form,3/6/2026,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0
Adam Gray,Adam,Gray,House,Democrat,CA-13,https://forms.cloud.microsoft/Pages/ResponsePage.aspx?id=mYITktAiSU2NMHFw1YltmOzKdnc-Wg1JiBTi_Uk9QAZUOFZFWEQyWFYzMUtaVVRKQk1KVUxMUEU0VC4u,https://forms.cloud.microsoft/Pages/ResponsePage.aspx?id=mYITktAiSU2NMHFw1YltmOzKdnc-Wg1JiBTi_Uk9QAZUOFZFWEQyWFYzMUtaVVRKQk1KVUxMUEU0VC4u,3/6/2026,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
Eric Swalwell,Eric,Swalwell,House,Democrat,CA-14,link,https://docs.google.com/forms/d/e/1FAIpQLSemaf_eGVIdSud5YLz_1ZxqvYmDx-9Q72YOHsNYW_Drr1nRNw/viewform,3/6/2026,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
Ro Khanna,Ro,Khanna,House,Democrat,CA-17,link,https://docs.google.com/forms/d/e/1FAIpQLSfMEyNoynhUT_4BcY7TOPw5KO1Ae2O_Jc1TNS7INnPUAvTdqg/viewform,TBD,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
Jimmy Panetta,Jimmy,Panetta,House,Democrat,CA-19,link,https://docs.google.com/forms/d/e/1FAIpQLSeSPZqiwuPX1TsiHrAcNnPhkJW8qHrm5JTLtUFRk8MyYTbt7Q/viewform,3/11/2026,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
Jared Huffman,Jared,Huffman,House,Democrat,CA-2,email juliana.fleming@mail.house.gov,mailto:juliana.fleming@mail.house.gov,TBD,email juliana.fleming@mail.house.gov,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
Jim Costa,Jim,Costa,House,Democrat,CA-21,link,https://costa.house.gov/appropriations,3/6/2026,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
David Valadao,David,Valadao,House,Republican,CA-22,link,https://docs.google.com/forms/d/e/1FAIpQLSfW9c-Z8gE-SbX6pdVa4h1eGE2df1jdd6jl1NMT4CsbMZjtvw/viewform,3/6/2026,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
Salud Carbajal,Salud,Carbajal,House,Democrat,CA-24,link,https://forms.office.com/pages/responsepage.aspx?id=mYITktAiSU2NMHFw1YltmHplW2cIvNRMusmnFsGXwhxURjNNOFI4Rkc0VkY1V1MxVTVDMEJBRDE0OS4u&route=shorturl,Rolling basis,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
Raul Ruiz,Raul,Ruiz,House,Democrat,CA-25,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
Kevin Kiley,Kevin,Kiley,House,Republican,CA-3,Email https://d12t4t5x3vyizu.cloudfront.net/kiley.house.gov/uploads/2026/02/Request-Form-FY2027-Programmatic-and-Language-Appropriations-.docx to Carson.Cameron@mail.house.gov ,,3/6/2026,Email https://d12t4t5x3vyizu.cloudfront.net/kiley.house.gov/uploads/2026/02/Request-Form-FY2027-Programmatic-and-Language-Appropriations-.docx to Carson.Cameron@mail.house.gov ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
Gil Cisneros,Gil,Cisneros,House,Democrat,CA-31,link,https://forms.cloud.microsoft/pages/responsepage.aspx?id=mYITktAiSU2NMHFw1YltmE-xiTE9GVtNivkppLcNSFtUNThSWFJKUldMUlc2RlRRTUU0QjZYVVQxWi4u&route=shorturl,3/4/2026,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
Pete Aguilar,Pete,Aguilar,House,Democrat,CA-33,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
Jimmy Gomez,Jimmy,Gomez,House,Democrat,CA-34,link,https://forms.office.com/pages/responsepage.aspx?id=mYITktAiSU2NMHFw1YltmClNzu5sPNpHq1F9g0UDkI1UNE9GWURCVklUU0c5UDY1Qko1NDVRMU5JSCQlQCN0PWcu&route=shorturl,3/6/2026,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
Norma Torres,Norma,Torres,House,Democrat,CA-35,link,https://docs.google.com/forms/d/e/1FAIpQLSc5M1aRjECUGM4GmUJUWGiDsIVBRkIkwsgm7OFeP8GwGpi0mA/viewform,27-Feb (tentative),,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
Sydney Kamlager,Sydney,Kamlager,House,Democrat,CA-37,link,https://docs.google.com/forms/d/e/1FAIpQLScFXmfQwH9qUK7u-NeTu9LeSVfWVczQ84Skmk9C3AtzognjAA/viewform,3/8/2026,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
Linda Sanchez,Linda,Sanchez,House,Democrat,CA-38,link,https://docs.google.com/forms/d/e/1FAIpQLSdUE8qH5fbTwkNivQyWTrOxla9dPh42hy_W5ot1dLwJ1C3QUQ/viewform,3/6/2026,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
Mark Takano,Mark,Takano,House,Democrat,CA-39,link,https://docs.google.com/forms/d/1fMaWWuyz0YhtHd-yPBlrT5m8zHjAiFA2BW2-oOfPMWE/viewform?edit_requested=true,3/11/2026,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
Mike Thompson,Mike,Thompson,House,Democrat,CA-4,link,https://mikethompson.house.gov/services/appropriations,TBD,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
Young Kim,Young,Kim,House,Republican,CA-40,link,https://docs.google.com/forms/d/e/1FAIpQLSdaYGODycj_xwsO1PFOHGjCjGcS0AcvKWEJg9EzYTL9EjTAzg/viewform,TBD,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
Ken Calvert,Ken,Calvert,House,Republican,CA-41,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
Robert Garcia,Robert,Garcia,House,Democrat,CA-42,link,https://robertgarcia.house.gov/services/appropriations,TBD,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
Maxine Waters,Maxine,Waters,House,Democrat,CA-43,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
Nanette Barragan,Nanette,Barragan,House,Democrat,CA-44,link,https://barragan.house.gov/wp-content/uploads/2026/02/FY27-Appropriations-Request-Form-Rep.-Barragan-1.pdf,3/6/2026,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
Derek Tran,Derek,Tran,House,Democrat,CA-45,link,https://docs.google.com/forms/d/e/1FAIpQLSeHUU4aM61NnrE65-OoY8mGsdN7K9KHLs3PXVxvviBgQqw8QA/viewform,3/9/2026,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
Lou Correa,Lou,Correa,House,Democrat,CA-46,link,https://docs.google.com/forms/d/e/1FAIpQLSdyWj_ru7GtdbXy8rsTJ1ThXyDfnJ9Vc6Ydp9AwPe4od9vF3A/viewform,3/6/2026,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
Dave Min,Dave,Min,House,Democrat,CA-47,link,https://forms.cloud.microsoft/Pages/ResponsePage.aspx?id=mYITktAiSU2NMHFw1YltmM7Hnv9kDzhElz2Y8sXIArJURDA5UFRTV0tQOTI2QUZZUTQyQ0pJVVpTMS4u,3/6/2026,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
Mike Levin,Mike,Levin,House,Democrat,CA-49,link,https://docs.google.com/forms/d/e/1FAIpQLSfbOmVuFJ6C0_Mi9gt69kvImZvFLmGq6euFcc3rHuDGSZXncA/viewform,3/6/2026,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
Tom McClintock,Tom,McClintock,House,Republican,CA-5,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
Scott Peters,Scott,Peters,House,Democrat,CA-50,link,https://docs.google.com/forms/d/e/1FAIpQLSf2a-4mmFiH2FAPC23EPAaSozXFWY1TVFXc0XlAB_ZNrNZ6ag/viewform,3/13/2026,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
Sara Jacobs,Sara,Jacobs,House,Democrat,CA-51,link,https://docs.google.com/forms/d/e/1FAIpQLScRTZaV5muU5zApjRLIJePHhijYAY5aL-uY2hK1UIKNcWRjwQ/viewform,3/9/2026,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
Juan Vargas,Juan,Vargas,House,Democrat,CA-52,https://docs.google.com/forms/d/e/1FAIpQLSeZncdzTrJZKhh6CWzZAzS6P45uGRl61084lF8iFBS1luODNA/viewform,https://docs.google.com/forms/d/e/1FAIpQLSeZncdzTrJZKhh6CWzZAzS6P45uGRl61084lF8iFBS1luODNA/viewform,3/6/2026,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
Ami Bera,Ami,Bera,House,Democrat,CA-6,Link,https://docs.google.com/forms/d/e/1FAIpQLSdAWxueVuCTtPsLyepRo4UTMvfNi_Lvt4D8cjRT5apLBnLpeA/viewform,6-Mar or 13-Mar depending on subcommittee (CJS 6-Mar),,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
Doris Matsui,Doris,Matsui,House,Democrat,CA-7,https://docs.google.com/forms/d/e/1FAIpQLScoJTXKkwiI0m_Ylg0_AVoRbZxFI8iKrCfUb4MHGklLGPpQxA/viewform,https://docs.google.com/forms/d/e/1FAIpQLScoJTXKkwiI0m_Ylg0_AVoRbZxFI8iKrCfUb4MHGklLGPpQxA/viewform,3/10/2026,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
John Garamendi,John,Garamendi,House,Democrat,CA-8,link,https://garamendi.house.gov/legislative-work/appropriations-request,3/12/2026,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
Josh Harder,Josh,Harder,House,Democrat,CA-9,link,https://docs.google.com/forms/d/e/1FAIpQLScGHTpSQkoBCmMViBOM76wEkiuGmkRsXJvSSTU3HDGi5wiIVA/viewform,3/6/2026,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
Michael Bennet,Michael,Bennet,Senate,Democrat,CO,link,https://docs.google.com/forms/d/e/1FAIpQLScdv5FPH3LwyXJWWxB_yH1hSfKBDTPpw4YxxqP9uqbI8RaW8A/viewform,3/27/2026,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0
